chembl_id,chemical_formula,target_name,pIC50,canonical_smiles,pref_name
CHEMBL102583,C7H18Cl2N2O2Pt,41M,5.72,[Pt](N)(Cl)(Cl)(O)(O)CN1CCCCC1C,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(N-methylcyclohexylamine)-platinium (IV)"
CHEMBL102583,C7H18Cl2N2O2Pt,A2780,5.595,[Pt](N)(Cl)(Cl)(O)(O)CN1CCCCC1C,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(N-methylcyclohexylamine)-platinium (IV)"
CHEMBL102583,C7H18Cl2N2O2Pt,CH1,5.715,[Pt](N)(Cl)(Cl)(O)(O)CN1CCCCC1C,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(N-methylcyclohexylamine)-platinium (IV)"
CHEMBL102583,C7H18Cl2N2O2Pt,SK-OV-3,5.16,[Pt](N)(Cl)(Cl)(O)(O)CN1CCCCC1C,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(N-methylcyclohexylamine)-platinium (IV)"
CHEMBL102644,C6H14Br2N2Pt,41M,5.45,[Pt](Br)(Br)(N)(NCCCCCCC),trans-Amminedibromo (cyclohexylamine)-platinium (II)
CHEMBL102644,C6H14Br2N2Pt,A2780,5.494999999999999,[Pt](Br)(Br)(N)(NCCCCCCC),trans-Amminedibromo (cyclohexylamine)-platinium (II)
CHEMBL102644,C6H14Br2N2Pt,CH1,5.35,[Pt](Br)(Br)(N)(NCCCCCCC),trans-Amminedibromo (cyclohexylamine)-platinium (II)
CHEMBL102644,C6H14Br2N2Pt,SK-OV-3,4.94,[Pt](Br)(Br)(N)(NCCCCCCC),trans-Amminedibromo (cyclohexylamine)-platinium (II)
CHEMBL103049,C6H16Cl2N2Pt,41M,5.369999999999999,[Pt](Cl)(Cl)(NCCCCCCC)(N),Trans-Amminedichloro hexylamine platinium (II)
CHEMBL103049,C6H16Cl2N2Pt,A2780,5.48,[Pt](Cl)(Cl)(NCCCCCCC)(N),Trans-Amminedichloro hexylamine platinium (II)
CHEMBL103049,C6H16Cl2N2Pt,CH1,5.380000000000001,[Pt](Cl)(Cl)(NCCCCCCC)(N),Trans-Amminedichloro hexylamine platinium (II)
CHEMBL103049,C6H16Cl2N2Pt,SK-OV-3,5.15,[Pt](Cl)(Cl)(NCCCCCCC)(N),Trans-Amminedichloro hexylamine platinium (II)
CHEMBL103122,C7H12Cl2N2O2Pt,41M,5.89,[Pt](N)(Cl)(Cl)(O)(O)CNCC1=CC=CC=C1,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxy-f-(benzylamine)-platinium (IV)"
CHEMBL103122,C7H12Cl2N2O2Pt,A2780,5.67,[Pt](N)(Cl)(Cl)(O)(O)CNCC1=CC=CC=C1,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxy-f-(benzylamine)-platinium (IV)"
CHEMBL103122,C7H12Cl2N2O2Pt,CH1,5.84,[Pt](N)(Cl)(Cl)(O)(O)CNCC1=CC=CC=C1,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxy-f-(benzylamine)-platinium (IV)"
CHEMBL103122,C7H12Cl2N2O2Pt,SK-OV-3,5.09,[Pt](N)(Cl)(Cl)(O)(O)CNCC1=CC=CC=C1,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxy-f-(benzylamine)-platinium (IV)"
CHEMBL103347,C7H14Cl2N2Pt,41M,5.835,[Pt]([NH3])(N1[C@H]2CC[C@H]1C2)(Cl)(Cl)(O)(O),"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(exo-2-aminonorbornane)-platinium (IV)"
CHEMBL103347,C7H14Cl2N2Pt,A2780,6.06,[Pt]([NH3])(N1[C@H]2CC[C@H]1C2)(Cl)(Cl)(O)(O),"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(exo-2-aminonorbornane)-platinium (IV)"
CHEMBL103347,C7H14Cl2N2Pt,CH1,5.81,[Pt]([NH3])(N1[C@H]2CC[C@H]1C2)(Cl)(Cl)(O)(O),"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(exo-2-aminonorbornane)-platinium (IV)"
CHEMBL103347,C7H14Cl2N2Pt,SK-OV-3,5.36,[Pt]([NH3])(N1[C@H]2CC[C@H]1C2)(Cl)(Cl)(O)(O),"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(exo-2-aminonorbornane)-platinium (IV)"
CHEMBL103570,C6H16Cl2N2O2Pt,41M,5.675,[Pt](N)(NCCCCCCC)(Cl)(Cl)(O)(O),"trans-a-ammine-b,d-dichloro-f-(cyclohexylamine)-c,e-dihydroxoplatinium (IV)"
CHEMBL103570,C6H16Cl2N2O2Pt,A2780,5.91,[Pt](N)(NCCCCCCC)(Cl)(Cl)(O)(O),"trans-a-ammine-b,d-dichloro-f-(cyclohexylamine)-c,e-dihydroxoplatinium (IV)"
CHEMBL103570,C6H16Cl2N2O2Pt,CH1,5.83,[Pt](N)(NCCCCCCC)(Cl)(Cl)(O)(O),"trans-a-ammine-b,d-dichloro-f-(cyclohexylamine)-c,e-dihydroxoplatinium (IV)"
CHEMBL103570,C6H16Cl2N2O2Pt,SK-OV-3,5.0,[Pt](N)(NCCCCCCC)(Cl)(Cl)(O)(O),"trans-a-ammine-b,d-dichloro-f-(cyclohexylamine)-c,e-dihydroxoplatinium (IV)"
CHEMBL103721,C7H16Cl2N2Pt,41M,6.215,[Pt](Cl)(Cl)(N(C)C1CCCCC1)(N),trans-Amminedichloro(N-methylcyclohexylamine)-platinium (II)
CHEMBL103721,C7H16Cl2N2Pt,A2780,5.890000000000001,[Pt](Cl)(Cl)(N(C)C1CCCCC1)(N),trans-Amminedichloro(N-methylcyclohexylamine)-platinium (II)
CHEMBL103721,C7H16Cl2N2Pt,CH1,6.1899999999999995,[Pt](Cl)(Cl)(N(C)C1CCCCC1)(N),trans-Amminedichloro(N-methylcyclohexylamine)-platinium (II)
CHEMBL103721,C7H16Cl2N2Pt,SK-OV-3,5.41,[Pt](Cl)(Cl)(N(C)C1CCCCC1)(N),trans-Amminedichloro(N-methylcyclohexylamine)-platinium (II)
CHEMBL105222,C7H18Cl2N2O2Pt,41M,4.93,[Pt](N)(Cl)(Cl)(O)(O)C1CN2CCC1CC2,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(quinuclidine)-platinium (IV)"
CHEMBL105222,C7H18Cl2N2O2Pt,A2780,5.15,[Pt](N)(Cl)(Cl)(O)(O)C1CN2CCC1CC2,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(quinuclidine)-platinium (IV)"
CHEMBL105222,C7H18Cl2N2O2Pt,CH1,4.915,[Pt](N)(Cl)(Cl)(O)(O)C1CN2CCC1CC2,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(quinuclidine)-platinium (IV)"
CHEMBL105222,C7H18Cl2N2O2Pt,SK-OV-3,4.57,[Pt](N)(Cl)(Cl)(O)(O)C1CN2CCC1CC2,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(quinuclidine)-platinium (IV)"
CHEMBL108133,C6H22Cl2N6Pt2+2,41M,5.734999999999999,[Pt](Cl)(N)(N)([NH2][CH2][CH2][CH2][CH2][CH2][NH2])[Pt](Cl)(N)(N),trans-[{PtCl(NH3)2}-mu-{NH2(CH2)6NH2}-trans-{PtCl(NH3)2}]
CHEMBL108133,C6H22Cl2N6Pt2+2,A2780,6.26,[Pt](Cl)(N)(N)([NH2][CH2][CH2][CH2][CH2][CH2][NH2])[Pt](Cl)(N)(N),trans-[{PtCl(NH3)2}-mu-{NH2(CH2)6NH2}-trans-{PtCl(NH3)2}]
CHEMBL108133,C6H22Cl2N6Pt2+2,CH1,6.26,[Pt](Cl)(N)(N)([NH2][CH2][CH2][CH2][CH2][CH2][NH2])[Pt](Cl)(N)(N),trans-[{PtCl(NH3)2}-mu-{NH2(CH2)6NH2}-trans-{PtCl(NH3)2}]
CHEMBL108133,C6H22Cl2N6Pt2+2,SK-OV-3,4.4399999999999995,[Pt](Cl)(N)(N)([NH2][CH2][CH2][CH2][CH2][CH2][NH2])[Pt](Cl)(N)(N),trans-[{PtCl(NH3)2}-mu-{NH2(CH2)6NH2}-trans-{PtCl(NH3)2}]
CHEMBL1351,C6H12N2O4Pt,A2780,5.09,[Pt](C1N(CCO1)C(=O)NCC(=O)O)(Cl)(Cl)Cl,CARBOPLATIN
CHEMBL1351,C6H12N2O4Pt,CH1,5.215,[Pt](C1N(CCO1)C(=O)NCC(=O)O)(Cl)(Cl)Cl,CARBOPLATIN
CHEMBL1351,C6H12N2O4Pt,SK-OV-3,4.7,[Pt](C1N(CCO1)C(=O)NCC(=O)O)(Cl)(Cl)Cl,CARBOPLATIN
CHEMBL146966,C11H12AuN3S2+,A2780,5.140000000000001,[Au](C#N)(C#N)(c1ccc(cc1)CN(C)C),"Bis(thiocyanato)[2-(dimethylamino)methyl]phenyl-C,N]gold-(III)"
CHEMBL146966,C11H12AuN3S2+,CH1,4.98,[Au](C#N)(C#N)(c1ccc(cc1)CN(C)C),"Bis(thiocyanato)[2-(dimethylamino)methyl]phenyl-C,N]gold-(III)"
CHEMBL146966,C11H12AuN3S2+,SK-OV-3,4.555,[Au](C#N)(C#N)(c1ccc(cc1)CN(C)C),"Bis(thiocyanato)[2-(dimethylamino)methyl]phenyl-C,N]gold-(III)"
CHEMBL148800,C10H16Cl2N3Pt+,41M,4.35,[Pt](Cl)(Cl)(C1=CN=CC=N1)(C1=CCN=C1),trans-ptcl2(picoline)(pz)
CHEMBL148800,C10H16Cl2N3Pt+,A2780,5.0,[Pt](Cl)(Cl)(C1=CN=CC=N1)(C1=CCN=C1),trans-ptcl2(picoline)(pz)
CHEMBL148800,C10H16Cl2N3Pt+,CH1,4.59,[Pt](Cl)(Cl)(C1=CN=CC=N1)(C1=CCN=C1),trans-ptcl2(picoline)(pz)
CHEMBL1627729,C33H50Cl2N2O3Pt,A2780,5.23,[Pt](Cl)(Cl)(Nc1ccc(N)cc1)[CH2]c1ccc2c(c1)O2,Estrogen platinum (II) hybrid derivative
CHEMBL1627731,C35H54Cl2N2O3Pt,A2780,5.0,[Pt](Cl)(Cl)(Nc1ccc(N)cc1)[CH2]c1ccc2c(c1)O2,Estrogen platinum (II) hybrid derivative
CHEMBL1627733,C30H44Cl2N2O3Pt,A2780,4.82,[Pt](Cl)(Cl)(Nc1ccc(N)cc1)[CH2]c1ccc2c(c1)O2,Estrogen platinum (II) hybrid derivative
CHEMBL1627734,C34H52Cl2N2O3Pt,A2780,5.595000000000001,[Pt](Cl)(Cl)(Nc1ccc(N)cc1)[CH2]c1ccc2c(c1)O2,Estrogen platinum (II) hybrid derivative
CHEMBL1627737,C32H48Cl2N2O3Pt,A2780,5.43,[Pt](Cl)(Cl)(Nc1ccc(N)cc1)[CH2]c1ccc2c(c1)O2,Estrogen platinum (II) hybrid derivative
CHEMBL1627738,C31H46Cl2N2O3Pt,A2780,4.78,[Pt](Cl)(Cl)(Nc1ccc(N)cc1)[CH2]c1ccc2c(c1)O2,Estrogen platinum (II) hybrid derivative
CHEMBL1627993,C36H56Cl2N2O3Pt,A2780,5.705,[Pt](Cl)(Cl)(Nc1ccc(N)cc1)[CH2]c1ccc2c(c1)O2,Estrogen platinum (II) hybrid derivative
